sending solidarity whoever doctor manage incredibly distress situation calmly disinfo	Stressed,Lonely,Anxious
need see hair amp beard gat book appointment barb meanwhile fit stroll enter pot joint life	Anxious,Normal,Normal
next time meet someone new dont ask ask love	Normal,Anxious,Normal
raise hand junhoes ocean lotion life rent free mind ikon domination stanworldikon	Normal,Anxious,Anxious
mariposa de barrio teach matter guy forever cheat	Normal,Normal,Normal
good point remember 1013 leave alone pokie clubs kids rooms id imagine th	Anxious,Anxious,Normal
mori wip white dress	Normal,Normal,Normal
okay ik lot people go want im make gc ashnikko stans help	Anxious,Normal,Normal
im gonna say	Normal,Stressed,Stressed
im gonna say	Normal,Stressed,Stressed
people suffer know difficult mourn one person let alone 3 within 5 day boris need help	Lonely,Normal,Lonely
feel beautiful woman sad	Stressed,Normal,Stressed
nothing touch today feel like 2010	Normal,Normal,Anxious
right	Normal,Normal,Lonely
ron desantis danger florida democracy want president need stop track	Anxious,Lonely,Normal
2021 im bring back tune 20142016 era aka actual golden year modern dubstep never	Lonely,Lonely,Stressed
base abuja get 5years experience office administration also work personal assistant	Lonely,Normal,Anxious
previous speaker literally say trial combat	Normal,Anxious,Normal
tire fight foreign occupier fight defend homeland liberate th	Stressed,Stressed,Anxious
fact get mecha work boy girl doggy style position tells everything need kno	Anxious,Anxious,Anxious
guess need feel comfort biden protect us evil day trader china russia iran	Lonely,Lonely,Lonely
boy get slaughter helpless mother could scream father trauma stupid expect global n	Stressed,Stressed,Normal
police question intruder couch	Normal,Lonely,Normal
ut 68d41e8f battle id need backup lvl 200 wilnas	Lonely,Normal,Anxious
yo belle	Normal,Anxious,Normal
know sky place clear nightwow absolutely stunning thousands star need go back catch light though didnt manage last time	Anxious,Normal,Normal
bigg boss 14 bipasha basu root rubina dilaiks win say one hell strong girl times india	Normal,Stressed,Lonely
sad thing disinformation truth come damage already people already mi	Stressed,Lonely,Stressed
people love aint gotta nothing extra	Lonely,Stressed,Stressed
find help need national domestic abuse helpline 0808 2000 247 respect helpline worried yo	Lonely,Stressed,Stressed
im tire man fucking tire	Stressed,Anxious,Stressed
light hearted fun unimaginative tourist photo people negative sad life bore without substance cant even slightly amuse droll humour	Stressed,Anxious,Anxious
advisor tell instead try game market need put money 1 tall bank shape li	Anxious,Stressed,Stressed
ererei modern au tire make complete plot please imagine whatever want im sure	Stressed,Anxious,Stressed
leave home make look like im go eat idk help	Anxious,Anxious,Stressed
jonghyun think difference like love someone experience pain think	Anxious,Stressed,Anxious
happen fool desperate fame cost ridiculous attention seek mental disorder	Normal,Normal,Lonely
cant imagine mental trauma usa multiple gun massacre go hope youre	Stressed,Stressed,Normal
noooo parent emo sonyaz sebebisensin	Normal,Normal,Normal
sk want 12 us show strength cover weakness im cant alone im always thankful	Lonely,Anxious,Anxious
sad become mediocre fortnite youtuber average 20k view video	Stressed,Anxious,Stressed
ive sing head morning im mooseim goose loose goose	Anxious,Anxious,Stressed
im go active need im go take care sister focus schoo	Anxious,Anxious,Lonely
occur majority people post want travel already tire pandemic	Stressed,Anxious,Lonely
8a5f1371 battle id need backup lvl 150 lucilius	Lonely,Stressed,Lonely
need start eat work cuz im always starve halfway thru shift always nauseous work dont wanna eat	Anxious,Stressed,Anxious
james corden act gay two hour get golden globe nomination act straight 23 year get	Stressed,Stressed,Stressed
sad newscloris insanely talented could make laugh cry drop hat always pleasure	Stressed,Lonely,Lonely
want stream four 4k camera youtube time different stream key would need open obs 4 time also whats minimum spec pc run dedicate set thanks	Lonely,Lonely,Lonely
yall know worst type man one ready wont leave hell alone	Lonely,Anxious,Lonely
